"block_id","Row_drug","Col_drug","HSA_score","SampleID"
1,"AZD8055","Duvelisib",-8.08,"CLL1"
2,"AZD8055","Ibrutinib",-6.611,"CLL1"
3,"AZD8055","MK-2206",-0.963,"CLL1"
4,"AZD8055","Selumetinib",6.819,"CLL1"
5,"Birinapant","Duvelisib",5.964,"CLL1"
6,"Birinapant","Ibrutinib",16.164,"CLL1"
7,"Birinapant","MK-2206",4.925,"CLL1"
8,"Birinapant","Selumetinib",6.605,"CLL1"
9,"BX-912","Duvelisib",3.129,"CLL1"
10,"BX-912","Ibrutinib",5.456,"CLL1"
11,"BX-912","MK-2206",2.454,"CLL1"
12,"BX-912","Selumetinib",5.729,"CLL1"
13,"CHIR-99021","Duvelisib",0.599,"CLL1"
14,"CHIR-99021","Ibrutinib",7.517,"CLL1"
15,"CHIR-99021","MK-2206",4.497,"CLL1"
16,"CHIR-99021","Selumetinib",8.496,"CLL1"
17,"Dasatinib","Duvelisib",8.593,"CLL1"
18,"Dasatinib","Ibrutinib",9.583,"CLL1"
19,"Dasatinib","MK-2206",4.526,"CLL1"
20,"Dasatinib","Selumetinib",5.073,"CLL1"
21,"Duvelisib","Duvelisib",2.097,"CLL1"
22,"Duvelisib","Ibrutinib",11.206,"CLL1"
23,"Duvelisib","MK-2206",2.599,"CLL1"
24,"Duvelisib","Selumetinib",9.037,"CLL1"
25,"Fludarabine","Duvelisib",-5.702,"CLL1"
26,"Fludarabine","Ibrutinib",3.025,"CLL1"
27,"Fludarabine","MK-2206",0.6,"CLL1"
28,"Fludarabine","Selumetinib",3.839,"CLL1"
29,"GDC-0152","Duvelisib",-1.293,"CLL1"
30,"GDC-0152","Ibrutinib",6.359,"CLL1"
31,"GDC-0152","MK-2206",-1.928,"CLL1"
32,"GDC-0152","Selumetinib",0.716,"CLL1"
33,"Gefitinib","Duvelisib",-10.076,"CLL1"
34,"Gefitinib","Ibrutinib",-0.179,"CLL1"
35,"Gefitinib","MK-2206",-2.207,"CLL1"
36,"Gefitinib","Selumetinib",6.057,"CLL1"
37,"GSK429286A","Duvelisib",3.965,"CLL1"
38,"GSK429286A","Ibrutinib",5.927,"CLL1"
39,"GSK429286A","MK-2206",0.588,"CLL1"
40,"GSK429286A","Selumetinib",11.43,"CLL1"
41,"Ibrutinib","Duvelisib",6.557,"CLL1"
42,"Ibrutinib","Ibrutinib",9.938,"CLL1"
43,"Ibrutinib","MK-2206",-2.014,"CLL1"
44,"Ibrutinib","Selumetinib",2.763,"CLL1"
45,"KX2-391","Duvelisib",11.536,"CLL1"
46,"KX2-391","Ibrutinib",11.376,"CLL1"
47,"KX2-391","MK-2206",0.21,"CLL1"
48,"KX2-391","Selumetinib",3.831,"CLL1"
49,"Lenalidomide","Duvelisib",-24.051,"CLL1"
50,"Lenalidomide","Ibrutinib",-14.913,"CLL1"
51,"Lenalidomide","MK-2206",-7.725,"CLL1"
52,"Lenalidomide","Selumetinib",-4.774,"CLL1"
53,"MK-2206","Duvelisib",1.253,"CLL1"
54,"MK-2206","Ibrutinib",5.219,"CLL1"
55,"MK-2206","MK-2206",5.44,"CLL1"
56,"MK-2206","Selumetinib",7.042,"CLL1"
57,"Onalespib","Duvelisib",6.006,"CLL1"
58,"Onalespib","Ibrutinib",12.099,"CLL1"
59,"Onalespib","MK-2206",3.228,"CLL1"
60,"Onalespib","Selumetinib",4.346,"CLL1"
61,"PRT062607","Duvelisib",7.433,"CLL1"
62,"PRT062607","Ibrutinib",7.863,"CLL1"
63,"PRT062607","MK-2206",6.117,"CLL1"
64,"PRT062607","Selumetinib",11.992,"CLL1"
65,"Quizartinib","Duvelisib",-2.158,"CLL1"
66,"Quizartinib","Ibrutinib",2.546,"CLL1"
67,"Quizartinib","MK-2206",-3.343,"CLL1"
68,"Quizartinib","Selumetinib",0.973,"CLL1"
69,"Ruxolitinib","Duvelisib",-4.57,"CLL1"
70,"Ruxolitinib","Ibrutinib",5.489,"CLL1"
71,"Ruxolitinib","MK-2206",-0.801,"CLL1"
72,"Ruxolitinib","Selumetinib",3.376,"CLL1"
73,"Selinexor","Duvelisib",11.782,"CLL1"
74,"Selinexor","Ibrutinib",10.519,"CLL1"
75,"Selinexor","MK-2206",4.406,"CLL1"
76,"Selinexor","Selumetinib",3.4,"CLL1"
77,"Selumetinib","Duvelisib",-2.059,"CLL1"
78,"Selumetinib","Ibrutinib",9.855,"CLL1"
79,"Selumetinib","MK-2206",3.111,"CLL1"
80,"Selumetinib","Selumetinib",2.866,"CLL1"
81,"Tipifarnib","Duvelisib",1.167,"CLL1"
82,"Tipifarnib","Ibrutinib",4.273,"CLL1"
83,"Tipifarnib","MK-2206",2.369,"CLL1"
84,"Tipifarnib","Selumetinib",7.403,"CLL1"
85,"Trametinib","Duvelisib",12.127,"CLL1"
86,"Trametinib","Ibrutinib",14.464,"CLL1"
87,"Trametinib","MK-2206",3.409,"CLL1"
88,"Trametinib","Selumetinib",-2.834,"CLL1"
89,"Venetoclax","Duvelisib",12.033,"CLL1"
90,"Venetoclax","Ibrutinib",16.447,"CLL1"
91,"Venetoclax","MK-2206",5.935,"CLL1"
92,"Venetoclax","Selumetinib",6.961,"CLL1"
93,"Vismodegib","Duvelisib",-12.308,"CLL1"
94,"Vismodegib","Ibrutinib",-2.759,"CLL1"
95,"Vismodegib","MK-2206",-8.095,"CLL1"
96,"Vismodegib","Selumetinib",-2.637,"CLL1"
97,"AZD8055","Duvelisib",6.728,"CLL2"
98,"AZD8055","Ibrutinib",5.954,"CLL2"
99,"AZD8055","MK-2206",6.894,"CLL2"
100,"AZD8055","Selumetinib",7.109,"CLL2"
101,"Birinapant","Duvelisib",3.645,"CLL2"
102,"Birinapant","Ibrutinib",7.818,"CLL2"
103,"Birinapant","MK-2206",5.092,"CLL2"
104,"Birinapant","Selumetinib",3.653,"CLL2"
105,"BX-912","Duvelisib",5.417,"CLL2"
106,"BX-912","Ibrutinib",3.135,"CLL2"
107,"BX-912","MK-2206",5.322,"CLL2"
108,"BX-912","Selumetinib",5.601,"CLL2"
109,"CHIR-99021","Duvelisib",0.047,"CLL2"
110,"CHIR-99021","Ibrutinib",-0.032,"CLL2"
111,"CHIR-99021","MK-2206",3.24,"CLL2"
112,"CHIR-99021","Selumetinib",5.167,"CLL2"
113,"Dasatinib","Duvelisib",4.956,"CLL2"
114,"Dasatinib","Ibrutinib",7.815,"CLL2"
115,"Dasatinib","MK-2206",5.349,"CLL2"
116,"Dasatinib","Selumetinib",5.808,"CLL2"
117,"Duvelisib","Duvelisib",6.622,"CLL2"
118,"Duvelisib","Ibrutinib",7.139,"CLL2"
119,"Duvelisib","MK-2206",7.424,"CLL2"
120,"Duvelisib","Selumetinib",9.537,"CLL2"
121,"Fludarabine","Duvelisib",0.16,"CLL2"
122,"Fludarabine","Ibrutinib",-1.585,"CLL2"
123,"Fludarabine","MK-2206",1.308,"CLL2"
124,"Fludarabine","Selumetinib",-0.029,"CLL2"
125,"GDC-0152","Duvelisib",0.647,"CLL2"
126,"GDC-0152","Ibrutinib",0.883,"CLL2"
127,"GDC-0152","MK-2206",-0.493,"CLL2"
